eps,min_samples,ari,nmi,silhouette,combined_score,n_clusters,noise_ratio
0.13808053731918335,3,0.5028719340373957,0.7407090870494668,0.5915227,0.6157369471615517,3,0.0009402914903620122
0.13808053731918335,5,0.5028719340373957,0.7407090870494668,0.5915227,0.6157369471615517,3,0.0009402914903620122
0.13808053731918335,7,0.5028719340373957,0.7407090870494668,0.5915227,0.6157369471615517,3,0.0009402914903620122
0.13808053731918335,9,0.7861286489445094,0.8912343644415183,0.7820846,0.8273621222016402,4,0.0009402914903620122
0.13808053731918335,11,0.7861286489445094,0.8912343644415183,0.7820846,0.8273621222016402,4,0.0009402914903620122
0.13808053731918335,13,0.7861286489445094,0.8912343644415183,0.7820846,0.8273621222016402,4,0.0009402914903620122
0.18410738309224448,3,0.5028719340373957,0.7407090870494668,0.5915227,0.6157369471615517,3,0.0009402914903620122
0.18410738309224448,5,0.5028719340373957,0.7407090870494668,0.5915227,0.6157369471615517,3,0.0009402914903620122
0.18410738309224448,7,0.5028719340373957,0.7407090870494668,0.5915227,0.6157369471615517,3,0.0009402914903620122
0.18410738309224448,9,0.5028719340373957,0.7407090870494668,0.5915227,0.6157369471615517,3,0.0009402914903620122
0.18410738309224448,11,0.5028719340373957,0.7407090870494668,0.5915227,0.6157369471615517,3,0.0009402914903620122
0.18410738309224448,13,0.5028719340373957,0.7407090870494668,0.5915227,0.6157369471615517,3,0.0009402914903620122
0.2301342288653056,3,0.5028719340373957,0.7407090870494668,0.5915227,0.6157369471615517,3,0.0009402914903620122
0.2301342288653056,5,0.5028719340373957,0.7407090870494668,0.5915227,0.6157369471615517,3,0.0009402914903620122
0.2301342288653056,7,0.5028719340373957,0.7407090870494668,0.5915227,0.6157369471615517,3,0.0009402914903620122
0.2301342288653056,9,0.5028719340373957,0.7407090870494668,0.5915227,0.6157369471615517,3,0.0009402914903620122
0.2301342288653056,11,0.5028719340373957,0.7407090870494668,0.5915227,0.6157369471615517,3,0.0009402914903620122
0.2301342288653056,13,0.5028719340373957,0.7407090870494668,0.5915227,0.6157369471615517,3,0.0009402914903620122
0.2761610746383667,3,0.5026215559425485,0.7399385515594711,0.5911507,0.6152541832100059,3,0.0004701457451810061
